codigo;descripcion
PLUT0001;Budin vegano, elaborado artesanalmente.
PLUT0002;Chapati(pan para sandwich), pan para sandwich 100% vegano, elaborado artesanalmente.
PLUT0017;Cortezas 100g Envasadas, cortezas super crocantes y 100% veganas, elaboradas artesanalmente.
PLUT0021;Cortezas 250g envasadas, cortezas super crocantes y 100% veganas, elaboradas artesanalmente.
PLUT0020;Cortezas 500g envasadas, cortezas super crocantes y 100% veganas, elaboradas artesanalmente.
PLUT0053;Cortezas 100g eneldo y cebolla envasadas, cortezas super crocantes y 100% veganas, con un leve toque dulce y aromatico, elaboradas artesanalmente.
PLUT0003;Cortezas x kg, cortezas super crocantes y 100% veganas, elaboradas artesanalmente.
PLUT0051;Galleton dulce chips, Producto integral 100% vegano con nueces, chocolate semiamargo y ralladura de limón. elaborado artesanalmente.
PLUT0004;Galleton dulce frutos secos, Producto integral con nueces, semillas y canela. elaborado artesanalmente.
PLUT0052;Galleton dulce membrillo, Producto integral con dulce de membrillo agroecológico y ralladura de limón. elaborado artesanalmente.
PLUT0005;Granola x kg, Granola integral con frutos secos, semillas y vainilla, endulzada naturalmente. elaborada artesanalmente.
PLUT0006;Pan de arroz yamani, Pan artesanal a base de arroz yamaní integral, féculas naturales, aceite de oliva orgánico y sal marina, 100% vegano. elaborado artesanalmente.
